Particulars,India/ State/ UTs,Gender,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Lower Secondary School,Jharkhand,Boy,NA,NA,NA,NA,NA,220609,248056,248056,267635,358751
Lower Secondary School,Jharkhand,Girl,NA,NA,NA,NA,NA,144593,171059,171059,228089,312577
Lower Secondary School,Karnataka,Total,1263117,1265117,1284137,1356575,1315875,1516442,1552447,1557709,1629891,1647351
Lower Secondary School,Karnataka,Boy,NA,NA,NA,NA,NA,797526,808755,810049,845972,851421
Lower Secondary School,Karnataka,Girl,NA,NA,NA,NA,NA,718916,743692,747660,783919,795930
Lower Secondary School,Kerala,Total,1056441,1040489,1065738,1057664,1045855,1029690,1018355,1007419,1036266,1053789
Lower Secondary School,Kerala,Boy,NA,NA,NA,NA,NA,522215,514873,510399,526644,535480
Lower Secondary School,Kerala,Girl,NA,NA,NA,NA,NA,507475,503482,497020,509622,518309
Lower Secondary School,Lakshadweep,Total,2336,2555,2594,2949,2705,2491,2491,2645,2514,2291
Lower Secondary School,Lakshadweep,Boy,NA,NA,NA,NA,NA,1313,1313,1333,1270,1135
Lower Secondary School,Lakshadweep,Girl,NA,NA,NA,NA,NA,1178,1178,1312,1244,1156
Lower Secondary School,Madhya Pradesh,Total,960318,1121822,1228265,1320948,1423520,1605863,1817813,1899022,1966651,2082173
Lower Secondary School,Madhya Pradesh,Boy,NA,NA,NA,NA,NA,1008888,1128877,1167601,1214916,1288746
Lower Secondary School,Madhya Pradesh,Girl,NA,NA,NA,NA,NA,596975,688936,731421,751735,793427
Lower Secondary School,Maharashtra,Total,2727677,2815398,2876255,2892033,2978861,2957600,2940311,2980913,3052614,3075676
Lower Secondary School,Maharashtra,Boy,NA,NA,NA,NA,NA,1574925,1586947,1612691,1657513,1648662
Lower Secondary School,Maharashtra,Girl,NA,NA,NA,NA,NA,1382675,1353364,1368222,1395101,1427014
Lower Secondary School,Manipur,Total,67244,62921,70910,73565,75924,78353,78765,77696,80596,83959
Lower Secondary School,Manipur,Boy,NA,NA,NA,NA,NA,39955,40048,39844,40400,43151
Lower Secondary School,Manipur,Girl,NA,NA,NA,NA,NA,38398,38717,37852,40196,40808
Lower Secondary School,Meghalaya,Total,36151,44056,38396,48037,51073,56824,57555,54742,55406,55600
Lower Secondary School,Meghalaya,Boy,NA,NA,NA,NA,NA,27674,28011,26003,26364,27542
Lower Secondary School,Meghalaya,Girl,NA,NA,NA,NA,NA,29150,29544,28739,29042,28058
Lower Secondary School,Mizoram,Total,27162,21878,25685,26795,25066,27888,28137,28200,30421,31473
Lower Secondary School,Mizoram,Boy,NA,NA,NA,NA,NA,13999,14084,14252,15189,15601
Lower Secondary School,Mizoram,Girl,NA,NA,NA,NA,NA,13889,14053,13948,15232,15872
Lower Secondary School,Nagaland,Total,28429,21579,25074,29921,35056,35056,32000,32000,32000,32000
Lower Secondary School,Nagaland,Boy,NA,NA,NA,NA,NA,17628,16073,16073,16073,16073
Lower Secondary School,Nagaland,Girl,NA,NA,NA,NA,NA,17428,15927,15927,15927,15927
Lower Secondary School,Odisha,Total,684000,679272,844795,864018,867242,867041,877538,874518,908956,959653
Lower Secondary School,Odisha,Boy,NA,NA,NA,NA,NA,472618,473329,476512,483478,506255
Lower Secondary School,Odisha,Girl,NA,NA,NA,NA,NA,394423,404209,398006,425478,453398
Lower Secondary School,Puducherry,Total,33575,35061,36943,38869,40240,40904,41251,40660,41112,43655
Lower Secondary School,Puducherry,Boy,NA,NA,NA,NA,NA,20948,20905,20760,20567,22134
Lower Secondary School,Puducherry,Girl,NA,NA,NA,NA,NA,19956,20346,19900,20545,21521
Lower Secondary School,Punjab,Total,553909,502393,553388,551212,534081,524762,495933,579089,559183,652033
Lower Secondary School,Punjab,Boy,NA,NA,NA,NA,NA,291690,262655,313332,298787,352436
Lower Secondary School,Punjab,Girl,NA,NA,NA,NA,NA,233072,233278,265757,260396,299597
Lower Secondary School,Rajasthan,Total,993954,982525,1110161,1223388,1313886,1430189,1603483,1697934,1758944,1896236
Lower Secondary School,Rajasthan,Boy,NA,NA,NA,NA,NA,949337,1045666,1092947,1104029,1161686
Lower Secondary School,Rajasthan,Girl,NA,NA,NA,NA,NA,480852,557817,604987,654915,734550
Lower Secondary School,Sikkim,Total,8246,11507,9288,10766,11504,11269,11634,11633,12589,12589
Lower Secondary School,Sikkim,Boy,NA,NA,NA,NA,NA,5501,5767,5667,5883,5883
Lower Secondary School,Sikkim,Girl,NA,NA,NA,NA,NA,5768,5867,5966,6706,6706
Lower Secondary School,Tamil Nadu,Total,1586257,1680747,1760110,1898649,1924961,2000625,2063012,1857810,1876194,1873989
Lower Secondary School,Tamil Nadu,Boy,NA,NA,NA,NA,NA,1028864,1057914,955242,943659,950485
Lower Secondary School,Tamil Nadu,Girl,NA,NA,NA,NA,NA,971761,1005098,902568,932535,923504
Lower Secondary School,Tripura,Total,76559,82637,87298,87812,90155,91235,92788,93088,106841,113965
Lower Secondary School,Tripura,Boy,NA,NA,NA,NA,NA,48633,47955,48317,54693,57879
Lower Secondary School,Tripura,Girl,NA,NA,NA,NA,NA,42602,44833,44771,52148,56086
Lower Secondary School,Uttar Pradesh,Total,2314361,3801052,4030214,4113809,4214344,4318905,5727172,6071412,6456556,6076549
Lower Secondary School,Uttar Pradesh,Boy,NA,NA,NA,NA,NA,2815525,3339349,3496983,3715957,3499996
Lower Secondary School,Uttar Pradesh,Girl,NA,NA,NA,NA,NA,1503380,2387823,2574429,2740599,2576553
Lower Secondary School,Uttarakhand,Total,268216,309842,311226,316041,331432,334167,338462,349063,343080,354105
Lower Secondary School,Uttarakhand,Boy,NA,NA,NA,NA,NA,187076,190577,183201,186071,188834
Lower Secondary School,Uttarakhand,Girl,NA,NA,NA,NA,NA,147091,147885,165862,157009,165271
Lower Secondary School,West Bengal,Total,1376231,1374153,1498889,1471873,1599208,1613606,1723541,1759853,1965622,2104661
Lower Secondary School,West Bengal,Boy,NA,NA,NA,NA,NA,913600,948809,969941,965613,1058684
Lower Secondary School,West Bengal,Girl,NA,NA,NA,NA,NA,700006,774732,789912,1000009,1045977
Senior Secondary School,India,Total,10453229,11216030,11733394,12744725,13414499,14040408,16257779,16890633,17758354,19416079
Senior Secondary School,India,Boy,NA,NA,NA,NA,NA,8058031,9258131,9531787,9881928,10847867
Senior Secondary School,India,Girl,NA,NA,NA,NA,NA,5982377,6999648,7358846,7876426,8568212
Senior Secondary School,Andaman and Nicobar Islands,Total,5524,6093,6674,6323,6544,6946,7727,8354,8744,9044
Senior Secondary School,Andaman and Nicobar Islands,Boy,NA,NA,NA,NA,NA,3427,3886,4130,4317,4566
Senior Secondary School,Andaman and Nicobar Islands,Girl,NA,NA,NA,NA,NA,3519,3841,4224,4427,4478
Senior Secondary School,Andhra Pradesh,Total,1089661,1105571,1294617,1391722,1384886,1398616,1430572,1473913,1473913,1580561
Senior Secondary School,Andhra Pradesh,Boy,NA,NA,NA,NA,NA,812559,813304,813363,813363,849508
Senior Secondary School,Andhra Pradesh,Girl,NA,NA,NA,NA,NA,586057,617268,660550,660550,731053
Senior Secondary School,Arunachal Pradesh,Total,11143,13252,13231,14176,13948,15330,17577,18461,20861,23029
Senior Secondary School,Arunachal Pradesh,Boy,NA,NA,NA,NA,NA,9217,10130,10192,11218,12378
Senior Secondary School,Arunachal Pradesh,Girl,NA,NA,NA,NA,NA,6113,7447,8269,9643,10651
Senior Secondary School,Assam,Total,329888,192586,345806,174891,179312,186485,139140,155050,175108,221222
Senior Secondary School,Assam,Boy,NA,NA,NA,NA,NA,116706,81244,89962,93212,125455
Senior Secondary School,Assam,Girl,NA,NA,NA,NA,NA,69779,57896,65088,81896,95767
Senior Secondary School,Bihar,Total,286865,453054,373282,374153,358595,475452,493706,561609,721569,1019788
Senior Secondary School,Bihar,Boy,NA,NA,NA,NA,NA,299781,319199,354033,428971,610598
Senior Secondary School,Bihar,Girl,NA,NA,NA,NA,NA,175671,174507,207576,292598,409190
Senior Secondary School,Chandigarh,Total,17420,21831,18684,20764,22257,23184,25235,27417,27888,26256
Senior Secondary School,Chandigarh,Boy,NA,NA,NA,NA,NA,12569,13713,15065,15426,14306
Senior Secondary School,Chandigarh,Girl,NA,NA,NA,NA,NA,10615,11522,12352,12462,11950
Senior Secondary School,Chhattisgarh,Total,226008,186703,260479,278888,226112,227163,231237,287799,302996,352075
Senior Secondary School,Chhattisgarh,Boy,NA,NA,NA,NA,NA,139409,141911,164562,173556,196994
Senior Secondary School,Chhattisgarh,Girl,NA,NA,NA,NA,NA,87754,89326,123237,129440,155081
Senior Secondary School,Dadra and Nagar Haveli,Total,1696,1850,1785,2006,2140,2189,3597,3720,2999,3368
Senior Secondary School,Dadra and Nagar Haveli,Boy,NA,NA,NA,NA,NA,1440,2289,2273,1750,1982
Senior Secondary School,Dadra and Nagar Haveli,Girl,NA,NA,NA,NA,NA,749,1308,1447,1249,1386
Senior Secondary School,Daman and Diu,Total,2303,2065,1632,1766,2054,2639,2726,2904,3060,3140
Senior Secondary School,Daman and Diu,Boy,NA,NA,NA,NA,NA,1465,1439,1497,1600,1684
Senior Secondary School,Daman and Diu,Girl,NA,NA,NA,NA,NA,1174,1287,1407,1460,1456
Senior Secondary School,Delhi,Total,220654,230891,237355,258712,281652,318637,325435,361272,389293,423950
Senior Secondary School,Delhi,Boy,NA,NA,NA,NA,NA,170314,174342,194018,208045,225347
Senior Secondary School,Delhi,Girl,NA,NA,NA,NA,NA,148323,151093,167254,181248,198603
Senior Secondary School,Goa,Total,22868,21793,23743,23820,22929,24463,26914,27340,27488,29184
Senior Secondary School,Goa,Boy,NA,NA,NA,NA,NA,12297,13391,13455,13659,14591
Senior Secondary School,Goa,Girl,NA,NA,NA,NA,NA,12166,13523,13885,13829,14593
Senior Secondary School,Gujarat,Total,606600,623379,570008,477180,568188,625579,625124,804761,813753,845748
Senior Secondary School,Gujarat,Boy,NA,NA,NA,NA,NA,367971,360858,466603,464256,484324
Senior Secondary School,Gujarat,Girl,NA,NA,NA,NA,NA,257608,264266,338158,349497,361424
Senior Secondary School,Haryana,Total,349282,376927,366853,344313,331649,378690,446730,452760,629365,629365
Senior Secondary School,Haryana,Boy,NA,NA,NA,NA,NA,217997,256083,236913,338641,338641
Senior Secondary School,Haryana,Girl,NA,NA,NA,NA,NA,160693,190647,215847,290724,290724
Senior Secondary School,Himachal Pradesh,Total,123318,142787,151315,339732,339732,165691,161308,162758,177824,196758
Senior Secondary School,Himachal Pradesh,Boy,NA,NA,NA,NA,NA,93854,88731,89529,91220,103092
Senior Secondary School,Himachal Pradesh,Girl,NA,NA,NA,NA,NA,71837,72577,73229,86604,93666
Senior Secondary School,Jammu and Kashmir,Total,114224,119362,137007,138720,144225,144225,144225,231723,218258,218258
Senior Secondary School,Jammu and Kashmir,Boy,NA,NA,NA,NA,NA,80100,80100,126303,116332,116332
Senior Secondary School,Jammu and Kashmir,Girl,NA,NA,NA,NA,NA,64125,64125,105420,101926,101926
Senior Secondary School,Jharkhand,Total,12279,45784,44334,30621,41849,47629,94947,94947,107632,186814
Senior Secondary School,Jharkhand,Boy,NA,NA,NA,NA,NA,29115,55408,55408,58686,101702
Senior Secondary School,Jharkhand,Girl,NA,NA,NA,NA,NA,18514,39539,39539,48946,85112
Senior Secondary School,Karnataka,Total,608036,437883,662914,782665,782703,903321,967989,963453,987645,987645
Senior Secondary School,Karnataka,Boy,NA,NA,NA,NA,NA,482104,504787,487398,496916,496916
Senior Secondary School,Karnataka,Girl,NA,NA,NA,NA,NA,421217,463202,476055,490729,490729
Senior Secondary School,Kerala,Total,401851,436047,85185,323286,421340,588995,538227,634517,693787,711618
Senior Secondary School,Kerala,Boy,NA,NA,NA,NA,NA,272934,245423,294688,323855,337274
Senior Secondary School,Kerala,Girl,NA,NA,NA,NA,NA,316061,292804,339829,369932,374344
Senior Secondary School,Lakshadweep,Total,804,961,1068,1191,1587,2046,2046,2156,2336,2149
Senior Secondary School,Lakshadweep,Boy,NA,NA,NA,NA,NA,1012,1012,1109,1175,1038
Senior Secondary School,Lakshadweep,Girl,NA,NA,NA,NA,NA,1034,1034,1047,1161,1111
Senior Secondary School,Madhya Pradesh,Total,556095,493930,651870,701066,771479,922786,1063920,1152728,1211034,1433204
Senior Secondary School,Madhya Pradesh,Boy,NA,NA,NA,NA,NA,578880,666916,717252,755843,873958
Senior Secondary School,Madhya Pradesh,Girl,NA,NA,NA,NA,NA,343906,397004,435476,455191,559246
Senior Secondary School,Maharashtra,Total,1521865,1597493,1670121,1779999,1851926,1820063,1897273,2156340,2356976,2385711
Senior Secondary School,Maharashtra,Boy,NA,NA,NA,NA,NA,1047780,1076114,1216751,1329909,1353215
Senior Secondary School,Maharashtra,Girl,NA,NA,NA,NA,NA,772283,821159,939589,1027067,1032496
Senior Secondary School,Manipur,Total,16982,37826,21238,23178,23918,24683,24804,28325,32133,36185
Senior Secondary School,Manipur,Boy,NA,NA,NA,NA,NA,13838,13870,15541,18160,19523
Senior Secondary School,Manipur,Girl,NA,NA,NA,NA,NA,10845,10934,12784,13973,16662
Senior Secondary School,Meghalaya,Total,20420,29456,25834,26162,29634,31734,11171,17950,17984,18080
Senior Secondary School,Meghalaya,Boy,NA,NA,NA,NA,NA,16770,5331,8005,8021,8100
Senior Secondary School,Meghalaya,Girl,NA,NA,NA,NA,NA,14964,5840,9945,9963,9980
Senior Secondary School,Mizoram,Total,8975,11341,10539,10283,10555,11762,12816,14649,17049,18437
Senior Secondary School,Mizoram,Boy,NA,NA,NA,NA,NA,6098,6655,7482,8661,9274
Senior Secondary School,Mizoram,Girl,NA,NA,NA,NA,NA,5664,6161,7167,8388,9163
Senior Secondary School,Nagaland,Total,10831,8239,15291,17750,19579,19579,20634,20634,20634,20634
Senior Secondary School,Nagaland,Boy,NA,NA,NA,NA,NA,10586,11175,11175,11175,11175
Senior Secondary School,Nagaland,Girl,NA,NA,NA,NA,NA,8993,9459,9459,9459,9459
Senior Secondary School,Odisha,Total,493000,272671,170599,518480,518525,503878,374642,378561,379236,401586
Senior Secondary School,Odisha,Boy,NA,NA,NA,NA,NA,288145,213039,211968,212403,224888
Senior Secondary School,Odisha,Girl,NA,NA,NA,NA,NA,215733,161603,166593,166833,176698
Senior Secondary School,Puducherry,Total,16767,18695,20147,21250,22364,23692,25487,26388,27821,27578
Senior Secondary School,Puducherry,Boy,NA,NA,NA,NA,NA,11162,11944,12193,12896,12673
Senior Secondary School,Puducherry,Girl,NA,NA,NA,NA,NA,12530,13543,14195,14925,14905
Senior Secondary School,Punjab,Total,302584,331868,290526,302086,327976,344123,343450,451465,376703,442092
Senior Secondary School,Punjab,Boy,NA,NA,NA,NA,NA,194696,191847,243947,205418,240054
Senior Secondary School,Punjab,Girl,NA,NA,NA,NA,NA,149427,151603,207518,171285,202038
Senior Secondary School,Rajasthan,Total,440332,474380,545466,569637,610312,635357,709586,803910,1054687,1251170
Senior Secondary School,Rajasthan,Boy,NA,NA,NA,NA,NA,433799,478617,535398,679765,798009
Senior Secondary School,Rajasthan,Girl,NA,NA,NA,NA,NA,201558,230969,268512,374922,453161
Senior Secondary School,Sikkim,Total,4577,6178,5744,7217,7269,7227,6945,7799,8416,8416
Senior Secondary School,Sikkim,Boy,NA,NA,NA,NA,NA,3639,3362,3722,4077,4077
Senior Secondary School,Sikkim,Girl,NA,NA,NA,NA,NA,3588,3583,4077,4339,4339
Senior Secondary School,Tamil Nadu,Total,898429,984516,1015229,1053705,1083311,1152073,1255511,1109735,1168438,1184232
Senior Secondary School,Tamil Nadu,Boy,NA,NA,NA,NA,NA,551378,597058,524170,540980,543814
Senior Secondary School,Tamil Nadu,Girl,NA,NA,NA,NA,NA,600695,658453,585565,627458,640418
Senior Secondary School,Tripura,Total,27583,29861,30708,31097,32613,36679,46993,47193,40739,44473
Senior Secondary School,Tripura,Boy,NA,NA,NA,NA,NA,21955,26394,26508,23306,25676
Senior Secondary School,Tripura,Girl,NA,NA,NA,NA,NA,14724,20599,20685,17433,18797
Senior Secondary School,Uttar Pradesh,Total,1003861,1678046,1779404,1812250,1857372,1903264,3607193,3208786,3012332,3214212
Senior Secondary School,Uttar Pradesh,Boy,NA,NA,NA,NA,NA,1130307,2122888,1901044,1719258,1904155
Senior Secondary School,Uttar Pradesh,Girl,NA,NA,NA,NA,NA,772957,1484305,1307742,1293074,1310057
Senior Secondary School,Uttarakhand,Total,112230,143914,148823,154577,180338,179418,181350,197945,234309,243545
Senior Secondary School,Uttarakhand,Boy,NA,NA,NA,NA,NA,94394,93534,102969,125510,128504
Senior Secondary School,Uttarakhand,Girl,NA,NA,NA,NA,NA,85024,87816,94976,108799,115041
Senior Secondary School,West Bengal,Total,588274,678797,735883,731059,935626,886810,991542,993311,1015344,1216552
Senior Secondary School,West Bengal,Boy,NA,NA,NA,NA,NA,530333,572137,573161,570348,654044
Senior Secondary School,West Bengal,Girl,NA,NA,NA,NA,NA,356477,419405,420150,444996,562508
